icd10;text
I77.2;Pęknięcie tętnicy
I77.3;Dysplazja włóknisto - mięśniowa tętnic
I77.4;Zespół ucisku tętnicy krezkowej
I77.5;Martwica tętnicy
I77.6;Zapalenie tętnicy, nieokreślone
I77.8;Inne określone zaburzenia tętnic i tętniczek
I77.9;Zaburzenie tętnic i tętniczek, nieokreślone
curl --user elastic:9cfT1U^^8#eg -X POST "54.38.129.3:9200a/icd10_part_index/_doc/?pretty" -H 'Content-Type: application/json' -d '{ "icd10": "I78.0;Dziedziczne, krwotoczne rozszerzenie naczyń włosowatych [teleangiectasia]
I78.1;Znamię, nienowowtworowe
I78.8;Inne choroby naczyń włosowatych
I78.9;Choroby naczyń włosowatych, nieokreślone
I79.0;* Tętniak tętnicy głównej w chorobach sklasyfikowanych gdzie indziej
I79.1;* Zapalenie tętnicy głównej w chorobach sklasyfikowanych gdzie indziej
I79.2;* Angiopatia obwodowa w chorobach sklasyfikowanych gdzie indziej
I79.8;* Inne zaburzenia czynności tętnic, tętniczek i naczyń włosowatych w chorobach sklasyfikowanych gdzie indziej
I80.0;Zapalenie i zakrzepowe zapalenie żył powierzchownych kończyn dolnych
I80.1;Zapalenie i zakrzepowe zapalenie żyły udowej
I80.2;Zapalenie i zakrzepowe zapalenie żył innych naczyń głębokich kończyn dolnych
I80.3;Zapalenie i zakrzepowe zapalenie żył kończyn dolnych, nieokreślone
I80.8;Zapalenie i zakrzepowe zapalenie żył o innym umiejscowieniu
I80.9;Zapalenie i zakrzepowe zapalenie żył o nieokreślonym umiejscowieniu
I81;Zakrzep żyły wrotnej
I82.0;Zespół Budda-Chiariego
I82.1;Zapalenie zakrzepowe żył, wędrujące
I82.2;Zator i zakrzep żyły głównej
I82.3;Zator i zakrzep żyły nerkowej
I82.8;Zator i zakrzep innych określonych żył
I82.9;Zator i zakrzep żyły, nieokreślony
I83.0;Żylaki kończyn dolnych z owrzodzeniem
I83.1;Żylaki kończyn dolnych z zapaleniem
I83.2;Żylaki kończyn dolnych z owrzodzeniem i zapaleniem
I83.9;Żylaki kończyn dolnych bez owrzodzenia i zapalenia
I84.4;Guzy krwawicze odbytu zewnętrzne z innymi powikłaniami
I84.5;Guzy krwawicze odbytu zewnętrzne bez powikłań
I85.0;Żylaki przełyku z krwawieniem
I85.9;Żylaki przełyku bez krwawienia
I86.0;Żylaki podjęzykowe
I86.4;Żylaki żołądka
I86.8;Żylaki innych określonych miejsc
I87.0;Zespół pozakrzepowy
I87.1;Ucisk żyły
I87.2;Niewydolność żył (przewlekła) (obwodowa)
I87.8;Inne określone zaburzenia funkcji żył
I87.9;Zaburzenia funkcji żył, nieokreślone
I88.0;Nieokreślone zapalenie węzłów chłonnych krezkowych
I88.1;Przewlekłe zapalenie węzłów chłonnych oprócz krezkowych
I88.8;Inne nieokreślone zapalenie węzłów chłonnych
I88.9;Zapalenie węzłów chłonnych, nieokreślone
I89.0;Obrzęk chłonny niesklasyfikowany gdzie indziej
I89.1;Zapalenie naczyń chłonnych
I89.8;Inne określone niezakaźne zaburzenia naczyń i węzłów chłonnych
I89.9;Niezakaźne zaburzenia naczyń i wezłów chłonnych, nieokreślone
I95.0;Samoistne niedociśnienie tętnicze
I95.1;Niedociśnienie tętnicze ortostatyczne
I95.2;Niedociśnienie tętnicze wywołane przez leki
I95.8;Inne niedociśnienie tętnicze
I95.9;Niedociśnienie tętnicze, nieokreślone
I97.0;Zespół po kardiotomii
I97.1;Inne zaburzenia czynności układu krążenia po operacjach serca
I97.2;Zespół obrzęku chłonnego po usunięciu sutka
I97.8;Inne pozabiegowe zaburzenia funkcji układu krążenia, niesklasyfikowane gdzie indziej
I97.9;Pozabiegowe zaburzenia funkcji układu krążenia, nieokreślone
I98.2;* Żylaki przełyku w chorobach sklasyfikowanych gdzie indziej
I99;Inne i nieokreślone zaburzenia układu krążenia
N00.0;Ostry zespół zapalenia nerek (glomerulopatia submikroskopowa)
N00.1;Ostry zespół zapalenia nerek (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N00.2;Ostry zespół zapalenia nerek (rozlane błoniaste kłębuszkowe zapalenie nerek)
N00.3;Ostry zespół zapalenia nerek (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N00.4;Ostry zespół zapalenia nerek (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N00.5;Ostry zespół zapalenia nerek (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N00.6;Ostry zespół zapalenia nerek (choroba gęstych depozytów)
N00.7;Ostry zespół zapalenia nerek (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N00.8;Ostry zespół zapalenia nerek (inne)
N00.9;Ostry zespół zapalenia nerek (nie określone)
N01.0;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (glomerulopatia submikroskopowa)
N01.1;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N01.2;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (rozlane błoniaste kłębuszkowe zapalenie nerek)
N01.3;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N01.4;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N01.5;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N01.6;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (choroba gęstych depozytów)
N01.7;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N01.8;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (inne)
N01.9;Gwałtownie POSTĘPUJACY zespół zapalenia nerek (nie określone)
N02.0;Nawracający i uporczywy krwiomocz (glomerulopatia submikroskopowa)
N02.1;Nawracający I uporczywy krwiomocz (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N02.2;Nawracający i uporczywy krwiomocz (rozlane błoniaste kłębuszkowe zapalenie nerek)
N02.3;Nawracający I uporczywy krwiomocz (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N02.4;Nawracający i uporczywy krwiomocz (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N02.5;Nawracający i uporczywy krwiomocz (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N02.6;Nawracający i uporczywy krwiomocz (choroba gęstych depozytów)
N02.7;Nawracający i uporczywy krwiomocz (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N02.8;Nawracający i uporczywy krwiomocz (inne)
N02.9;Nawracający i uporczywy krwiomocz (nieokreślone)
N03.0;Przewlekły zespół zapalenia nerek (glomerulopatia submikroskopowa)
N03.1;Przewlekły zespół zapalenia nerek (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N03.2;Przewlekły zespół zapalenia nerek (rozlane błoniaste kłębuszkowe zapalenie nerek)
N03.3;Przewlekły zespół zapalenia nerek (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N03.4;Przewlekły zespół zapalenia nerek (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N03.5;Przewlekły zespół zapalenia nerek (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N03.6;Przewlekły zespół zapalenia nerek (choroba gęstych depozytów)
N03.7;Przewlekły zespół zapalenia nerek (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N03.8;Przewlekły zespół zapalenia nerek (inne)
N03.9;Przewlekły zespół zapalenia nerek (nieokreślone)
N04.0;Zespół nerczycowy (glomerulopatia submikroskopowa)
N04.1;Zespół nerczycowy (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N04.2;Zespół nerczycowy (rozlane błoniaste kłębuszkowe zapalenie nerek)
N04.3;Zespół nerczycowy (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N04.4;Zespół nerczycowy (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N04.5;Zespół nerczycowy (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N04.6;Zespół nerczycowy (choroba gęstych depozytów)
N04.7;Zespół nerczycowy (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N04.8;Zespół nerczycowy (inne)
N04.9;Zespół nerczycowy (nieokreślone)
N05.0;Zespół nerczycowy, nieokreślony (glomerulopatia submikroskopowa)
N05.1;Zespół nerczycowy, nieokreślony (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N05.2;Zespół nerczycowy, nieokreślony (rozlane błoniaste kłębuszkowe zapalenie nerek)
N05.3;Zespół nerczycowy, nieokreślony (rozlane rozrostowe ZAPALEnie mezangialne kłębuszków nerwowych)
N05.4;Zespół nerczycowy, nieokreślony (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N05.5;Zespół nerczycowy, nieokreślony (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N05.6;Zespół nerczycowy, nieokreślony (choroba gęstych depozytów)
N05.7;Zespół nerczycowy, nieokreślony (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N05.8;Zespół nerczycowy, nieokreślony (inne)
N05.9;Zespół nerczycowy, nieokreślony (nieOKREŚLONE)
N06.0;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (glomerulopatia submikroskopowa)
N06.1;Izolowany białkomocz z określonym USzKODzENIEM MORFOLOGICzNYM (ogniskowe I segmentalne USzKODzENIA KŁĘBUSzKÓW nerwowych)
N06.2;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (rozlane błoniaste kłębuszkowe zapalenie nerek)
N06.3;Izolowany białkomocz z określonym USzKODzENIEM MORFOLOGICzNYM (ROzLANE ROzROSTOWE zAPALENIE MEzANGIALNE KŁĘBUSzKÓW nerwowych)
N06.4;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N06.5;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N06.6;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (choroba gęstych depozytów)
N06.7;Izolowany białkomocz z określonym USzKODzENIEM MORFOLOGICzNYM (ROzLANE KŁĘBUSzKOWE zAPALENIE nerek z półksiężycami)
N06.8;Izolowany białkomocz z określonym uszkodzeniem morfologicznym (inne)
N06.9;Izolowany białkomocz z określonym USzKODzEnieM MORFOLOGICzNYM (nie określone)
N07.0;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (glomerulopatia submikroskopowa)
N07.1;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (ogniskowe I segmentalne uszkodzenia kłębuszków nerwowych)
N07.2;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (rozlane błoniaste kłębuszkowe zapalenie nerek)
N07.3;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (rozlane rozrostowe zapalenie mezangialne kłębuszków nerwowych)
N07.4;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (rozlane rozrostowe endokapilarne kłębuszkowe zapalenie nerek)
N07.5;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (rozlane mezangio-kapilarne kłębuszkowe zapalenie nerek)
N07.6;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (choroba gęstych depozytów)
N07.7;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (rozlane kłębuszkowe zapalenie nerek z półksiężycami)
N07.8;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (inne)
N07.9;Nefropatia dziedziczna, niesklasyfikowana gdzie indziej (nie określone)
N08.0;* Zaburzenia kłębuszków nerkowych zakaźnych i pasożytniczych w chorobach sklasyfikowanych gdzie indziej
N08.1;* Zaburzenia kłębuszków nerkowych w chorobach nowotworowych
N08.2;* Zaburzenia kłębuszków nerkowych w chorobach krwi i w zaburzeniach na podłożu immunologicznym
N08.3;* Zaburzenia kłębuszków nerkowych w cukrzycy (E10-E14+ ze wspólnym czwartym znakiem .2)
N08.4;* Zaburzenia kłębuszków nerkowych w innych chorobach gruczołów dokrewnych, przemiany materii i żywieniowych
N08.5;* Zaburzenia kłębuszków nerkowych w przebiegu układowych chorób tkanki łącznej
N08.8;* Zaburzenia kłębuszków nerkowych w innych chorobach sklasyfikowanych gdzie indziej
N10;Ostre cewkowo-śródmiąższowe zapalenie nerek
N11.0;Niezaporowe przewlekłe odmiedniczkowe zapalenie nerek związane z odpływem
N11.1;Przewlekłe odmiedniczkowe zapalenie nerek związane z przeszkodą dla odpływu moczu
N11.8;Inne przewlekłe cewkowo-śródmiąższowe zapalenie nerek
N11.9;Przewlekłe cewkowo-śródmiąższowe zapalenie nerek, nieokreślone
N12;Cewkowo-śródmiąższowe zapalenie nerek nieokreślone jako ostre lub przewlekłe
N13.0;Wodonercze z przeszkodą w połączeniu moczowodowo-miedniczkowym
N13.1;Wodonercze ze zwężeniem moczowodu niesklasyfikowanym gdzie indziej
N13.2;Wodonercze z przeszkodą spowodowaną kamicą nerek lub moczowodu
N13.3;Inne i nieokreślone wodonercze
N13.4;Wodniak moczowodu
N13.5;Zagięcie lub zwężenie moczowodu bez wodonercza
N13.6;Roponercze
N13.7;Uropatia związana z odpływem pęcherzowo-moczowodowym
N13.8;Inna zaporowa i odpływowa uropatia
N13.9;Zaporowa i odpływowa uropatia, nieokreślona
N14.0;Nefropatia wywołana przez środki przeciwbólowe
N14.1;Nefropatia wywołana przez inne leki, substancje lecznicze i biologiczne
N14.2;Nefropatia wywołana przez nieokreślony lek, substancję leczniczą lub biologiczną
N14.3;Nefropatia wywołana przez metale ciężkie
N14.4;Nefropatia toksyczna, niesklasyfikowana gdzie indziej
N15.0;Bałkańskie endemiczne zapalenie nerek
N15.1;Ropień nerkowy i okołonerkowy
N15.8;Inne określone cewkowo-śródmiąższowe choroby nerek
N15.9;Choroba cewkowo-śródmiąższowa nerek, nieokreślone
N16.0;* Zaburzenia cewkowo-śródmiąższowe nerek w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
N16.1;* Zaburzenia cewkowo-śródmiąższowe nerek w chorobach nowotworowych
N16.2;* Zaburzenia cewkowo-śródmiąższowe nerek w chorobach krwi i zaburzeniach dotyczących mechanizmów odpornościowych
N16.3;* Zaburzenia cewkowo-śródmiąższowe nerek w chorobach przemiany materii
N16.4;* Zaburzenia cewkowo-śródmiąższowe nerek w układowych zaburzeniach tkanki łącznej
N16.5;* Zaburzenia cewkowo-śródmiąższowe nerek w odrzuceniu przeszczepu (T86.-+)
N16.8;* Zaburzenia cewkowo-śródmiąższowe nerek w innych chorobach sklasyfikowanych gdzie indziej
N17.0;Ostra niewydolność nerek z martwicą cewek
N17.1;Ostra niewydolność nerek z ostrą martwicą kory nerek
N17.2;Ostra niewydolność nerek z martwicą w części rdzeniowej
N17.8;Inna ostra niewydolność nerek
N17.9;Ostra niewydolność nerek, nieokreślona
N18.0;Schyłkowa niewydolność nerek
N18.8;Inna przewlekła niewydolność nerek
N18.9;Przewlekła niewydolność nerek, nieokreślona
N19;Nieokreślona niewydolność nerek
N20.0;Kamica nerki
N20.1;Kamica moczowodu
N20.2;Kamica nerki z kamicą moczowodu
N20.9;Kamica moczowa, nieokreślona
N21.0;Kamica pęcherza moczowego
N21.1;Kamień cewki moczowej
N21.8;Inny kamień dolnych dróg moczowych
N21.9;Kamica dolnych dróg moczowych, nieokreślona
N22.0;* Kamica moczowa w schistosomatozie (B65.-+)
N22.8;* Kamica dróg moczowych w innych chorobach sklasyfikowanych gdzie indziej
N23;Nieokreślona kolka nerkowa
N25.0;Nerkowa osteodystofia
N25.1;Nerkopochodna moczówka prosta
N25.8;Inne zaburzenia wynikające z upośledzonej czynności cewek nerkowych
N25.9;Zaburzenia wynikające z upośledzonej czynności cewek nerkowych, nieokreślone
N26;Nieokreślony zanik nerki
N27.0;Nerka mała, jednostronnie
N27.1;Nerka mała, obustronnie
N27.9;Nerka mała, nieokreślona
N28.0;Niedokrwienie i zawał nerki
N28.1;Torbiel nerki, nabyta
N28.8;Inne określone zaburzenia nerki i moczowodu
N28.9;Zaburzenie nerki i moczowodu, nieokreślone
N29.0;* Kiła późna nerki (A52.7+)
N29.1;* Inne zaburzenia nerki i moczowodu w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
N29.8;* Inne zaburzenia nerki i moczowodu w innych chorobach sklasyfikowanych gdzie indziej
N30.0;Ostre zapalenie pęcherza moczowego
N30.1;Śródmiąższowe zapalenie pęcherza moczowego (przewlekłe)
N30.2;Inne przewlekłe zapalenie pęcherza moczowego
N30.3;Zapalenie trójkąta pęcherza moczowego
N30.4;Popromienne zapalenie pęcherza moczowego
N30.8;Inne zapalenie pęcherza moczowego
N30.9;Zapalenie pęcherza moczowego, nieokreślone
N31.0;Pęcherz neurogenny niesklasyfikowany gdzie indziej
N31.1;Odruchowy pęcherz neurogenny niesklasyfikowany gdzie indziej
N31.2;Wiotki pęcherz neurogenny niesklasyfikowany gdzie indziej
N31.8;Inna nerwowo-mięśniowa dysfunkcja pęcherza
N31.9;Nerwowo-mięśniowa dysfunkcja pęcherza, nieokreślona
N32.0;Przeszkoda w szyi pęcherza moczowego
N32.1;Przetoka pęcherzowo-jelitowa
N32.2;Przetoka pęcherza, niesklasyfikowana gdzie indziej
N32.3;Uchyłek pęcherza moczowego
N32.4;Pęknięcie pęcherza moczowego nieurazowe
N32.8;Inne określone zaburzenia pęcherza moczowego
N32.9;Zaburzenie pęcherza, nieokreślone
N33.0;* Gruźlicze zapalenie pęcherza moczowego (A18.1+)
N34.0;Ropień cewki moczowej
N34.1;Nieswoiste zapalenie cewki moczowej
N34.2;Inne zapalenie cewki moczowej
N34.3;Zespół cewkowy, nieokreślony
N35.0;Pourazowe zwężenie cewki moczowej
N35.1;Pozapalne zwężenie cewki moczowej, niesklasyfikowane gdzie indziej
N35.8;Inne zwężenie cewki moczowej
N35.9;Zwężenie cewki moczowej, nieokreślone
N36.0;Przetoka cewkowa
N36.1;Uchyłek cewki moczowej
N36.2;Mięsko cewkowe (caruncula urethralis)
N36.3;Wypadnięcie błony śluzowej cewki moczowej
N36.8;Inne określone zaburzenie cewki moczowej
N36.9;Zaburzenie cewki moczowej, nieokreślone
N39.0;Zakażenie układu moczowego w części nie określonej
N39.1;Białkomocz uporczywy, nieokreślony
N39.2;Białkomocz związany z pozycją ciała (ortostatyczny), nieokreślony
N39.3;Nietrzymanie moczu wysiłkowe
N39.4;Inne określone nietrzymanie moczu
N39.8;Inne określone zaburzenia układu moczowego
N39.9;Zaburzenie układu moczowego, nieokreślone
N40;Rozrost gruczołu krokowego
N41.0;Ostre zapalenie gruczołu krokowego
N41.1;Przewlekłe zapalenie gruczołu krokowego
N41.2;Ropień gruczołu krokowego
N41.3;Zapalenie gruczołu krokowego i pęcherza moczowego
N41.8;Inne choroby zapalne gruczołu krokowego
N41.9;Choroba zapalna gruczołu krokowego, nieokreślona
N42.0;Kamica gruczołu krokowego
N42.1;Przekrwienie lub krwotok z gruczołu krokowego
N42.2;Zanik gruczołu krokowego
N42.8;Inne określone zaburzenia gruczołu krokowego
N42.9;Zaburzenie gruczołu krokowego, nieokreślone
N43.3;Wodniak jądra, nieokreślony
N44;Skręt jądra
N45.9;Zapalenie jądra, zapalenie najądrza oraz zapalenie jądra i najądrza bez ropnia
N47;Nadmiar napletka, stulejka i załupek
N48.0;Rogowacenie białe prącia (leukoplakia)
N48.1;Zapalenie żołędzi prącia i napletka
N48.2;Inne choroby zapalne prącia
N48.3;Bolesny wzwód prącia (priapismus)
N48.4;Impotencja z przyczyn organicznych
N48.5;Owrzodzenie prącia
N48.6;Zanikowe zapalenie żołędzi i blaszki wewnętrznej napletka
N48.8;Inne określone zaburzenia prącia
N48.9;Zaburzenie prącia, nieokreślone
N49.1;Choroby zapalne powrózka nasiennego, osłonki pochwowej jądra i nasieniowodu
N49.2;Choroby zapalne moszny
N49.8;Choroby zapalne innych określonych męskich narządów płciowych
N49.9;Choroby zapalne nie określonego męskiego narządu płciowego
N50.1;Zaburzenia naczyniowe męskich narządów płciowych
N50.8;Inne określone zaburzenia męskich narządów płciowych
N50.9;Zaburzenie męskich narządów płciowych, nieokreślone
N60.0;Samotna torbiel sutka
N60.1;Rozlane torbielowate zwyrodnienie sutka
N60.2;Gruczlokowłókniakowatość sutka
N60.3;Stwardnienie tkanki włóknistej sutka
N60.4;Poszerzone przewody mlekowe sutka
N60.8;Inna łagodna dysplazja sutka
N60.9;Łagodna dysplazja sutka, nieokreślona
N61;Stany zapalne sutka
N62;Przerost sutka
N63;Nieokreślony guzek w sutku
N64.0;Szczelina i przetoka brodawki sutkowej
N64.1;Martwica tłuszczowa sutka
N64.2;Zanik sutka
N64.3;Mlekotok nie związany z porodem
N64.4;Bolesność sutka (mastodynia)
N64.5;Inne objawy ze strony sutka
N64.8;Inne określone zaburzenia sutka
N64.9;Schorzenia sutka, nieokreślone
N70.0;Ostre zapalenie jajowodów i zapalenie jajników
N70.1;Przewlekłe zapalenie jajowodów i zapalenie jajników
N70.9;Zapalenie jajowodów i zapalenie jajników, nieokreślone
N71.0;Ostra zapalnie macicy
N71.1;Przewlekłe zapalnie macicy
N71.9;Zapalenie macicy, nieokreślona
N72;Zapalenie szyjki macicy
N73.0;Ostre zapalenie przymacicza i tkanki łącznej miednicy
N73.1;Przewlekłe zapalenie przymacicza i tkanki łącznej miednicy
N73.2;Nie określone zapalenie przymacicza i tkanki łącznej miednicy
N73.3;Ostre zapalenie otrzewnej miednicy mniejszej u kobiet
N73.4;Przewlekłe zapalenie otrzewnej miednicy mniejszej u kobiet
N73.5;Zapalenie otrzewnej miednicy mniejszej u kobiet, nieokreślone
N73.6;Zrosty otrzewnej miednicy mniejszej u kobiet
N73.8;Inne określone choroby zapalne miednicy mniejszej u kobiet
N73.9;Zapalenie miednicy mniejszej u kobiet, nieokreślona
N74.0;* Zakażenie gruźlicze szyjki macicy (A18.1+)
N74.1;* Gruźlica miednicy mniejszej u kobiet (A18.1+)
N74.2;* Kiłowa choroba zapalna miednicy mniejszej u kobiet (A51.4+, A52.7+)
N74.3;* Rzeżączkowa choroba zapalna miednicy mniejszej u kobiet (A54.2+)
N74.4;* Chlamydiowa choroba zapalna miednicy mniejszej u kobiet (A56.1+)
N74.8;* Zapalenia miednicy mniejszej u kobiet w chorobach sklasyfikowanych gdzie indziej
N75.0;Torbiel gruczołu przedsionkowego większego
N75.1;Ropień gruczołu przedsionkowego większego
N75.8;Inne choroby gruczołu przedsionkowego większego
N75.9;Choroba gruczołu przedsionkowego większego, nieokreślona
N76.0;Ostre zapalenie pochwy
N76.1;Podostre i przewlekłe zapalenie pochwy
N76.2;Ostre zapalenie sromu
N76.3;Podostre i przewlekłe zapalenie sromu
N76.4;Ropień sromu
N76.5;Owrzodzenie pochwy
N76.6;Owrzodzenie sromu
N76.8;Inne określone stany zapalne pochwy i sromu
N77.0;* Owrzodzenie sromu w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
N77.1;* Zapalenie pochwy, zapalenie sromu oraz zapalenie sromu i pochwy w chorobach zakaźnych i pasożytniczych sklasyfikowanych gdzie indziej
N77.8;* Owrzodzenie i zapalenie sromu i pochwy w innych chorobach sklasyfikowanych gdzie indziej
N80.0;Gruczolistość macicy
N80.1;Gruczolistość środmaciczna jajnika
N80.2;Gruczolistość środmaciczna jajowodu
N80.3;Gruczolistość środmaciczna otrzewnej miednicy mniejszej
N80.4;Gruczolistość środmaciczna przegrody odbytniczo-pochwowej i pochwy
N80.5;Gruczolistość środmaciczna jelita
N80.6;Gruczolistość środmaciczna w bliźnie skórnej
N80.8;Inna gruczolistość środmaciczna o innej lokalizacji
N80.9;Gruczolistość środmaciczna, nieokreślona
N81.0;Uchyłek cewki moczowej u kobiet
N81.1;Uchyłek pęcherza moczowego
N81.2;Częściowe wypadanie macicy i pochwy
N81.3;Całkowite wypadanie macicy i pochwy
N81.4;Wypadanie macicy i pochwy, nieokreślone
N81.5;Przepuklina jelitowa w ścianie pochwy (enterocoele)
N81.6;Uchyłek odbytnicy
N81.8;Inne wypadanie żeńskich narządów płciowych
N81.9;Wypadanie żeńskich narządów płciowych, nieokreślone
N82.0;Przetoka pęcherzowo-pochwowa
N82.1;Inne przetoki pomiędzy układem moczowym a żeńskimi narządami płciowymi
N82.2;Przetoka między pochwą a jelitem cienkim
N82.3;Przetoka między pochwą a jelitem grubym
N82.4;Inne przetoki między jelitami a żeńskimi narządami płciowymi
N82.5;Przetoki między żeńskimi narządami płciowymi a skórą
N82.8;Inne przetoki w żeńskim narządzie rodnym
N82.9;Przetoka w żeńskim narządzie rodnym, nieokreślona
N83.0;Pęcherzykowa torbiel jajnika
N83.1;Torbiel ciałka żółtego
N83.2;Inne i nieokreślone torbiele jajnikowe
N83.3;Nabyty zanik jajnika i jajowodu
N83.4;Wypadanie i przepuklina jajnika i jajowodu
N83.5;Skręcenie jajnika, szypuły jajnika i jajowodu
N83.6;Krwiak jajowodu
N83.7;Krwiak więzadła szerokiego macicy
N83.8;Inne niezapalne schorzenia jajnika, jajowodu i więzadła szerokiego macicy
N83.9;Niezapalne schorzenia jajnika, jajowodu i więzadła szerokiego, nieokreślone
N84.0;Polip trzonu macicy
N84.1;Polip szyjki macicy
N84.2;Polip pochwy
N84.3;Polip sromu
N84.8;Polip innych części żeńskiego narządu rodnego
N84.9;Polip żeńskiego narządu rodnego, nieokreślony
N85.0;Rozrost gruczołowy błony śluzowej macicy
N85.1;Rozrost gruczolakowaty błony śluzowej macicy
N85.2;Przerost macicy
N85.3;Niedostateczne zwinięcie się macicy
N85.4;Nieprawidłowe położenia macicy
N85.5;Wynicowanie macicy
N85.6;Zrosty wewnątrzmaciczne
N85.7;Krwiak śródmaciczny
N85.8;Inne określone niezapalne schorzenia macicy
N85.9;Niezapalne zaburzenie macicy, nieokreślone
N86;Nadżerka i wywinięcie błony śluzowej kanału szyjki macicy
N87.0;Łagodna dysplazja szyjkowa
N87.1;Umiarkowana dysplazja szyjki macicy
N87.2;Nasilona dysplazja szyjki macicy, niesklasyfikowana gdzie indziej
N87.9;Dysplazja szyjki macicy, nieokreślona
N88.0;Rogowacenie białe szyjki macicy (leukoplakia)
N88.1;Zastarzałe pęknięcie szyjki macicy
N88.2;Zwężenie kanału szyjki macicy i zamknięcia
N88.3;Niewydolność szyjki macicy
N88.4;Przerostowe wydłużenie szyjki
N88.8;Inne określone niezapalne schorzenia szyjki macicy
N88.9;Niezapalne schorzenia szyjki macicy, nieokreślone
N89.0;Łagodna dysplazja pochwowa
N89.1;Umiarkowana dysplazja pochwowa
N89.2;Nasilona dysplazja pochwy niesklasyfikowana gdzie indziej
N89.3;Dysplazja pochwy, nieokreślona
N89.4;Rogowacenie białe pochwy (leukoplakia)
N89.5;Zwężenie i zarośnięcie pochwy
N89.6;Niepodatna błona dziewicza
N89.7;Krwiak śródpochwowy
N89.8;Inne określone niezapalne schorzenia pochwy
N89.9;Niezapalne schorzenia pochwy, nieokreślone
N90.0;Łagodna dysplazja sromu
N90.1;Umiarkowana dysplazja sromu
N90.2;Nasilona dysplazja sromu
N90.3;Dysplazja sromu, nieokreślona
N90.4;Rogowacenie białe sromu
N90.5;Zanik sromu
N90.6;Przerost sromu
N90.7;Torbiel sromu
N90.8;Inne określone niezapalne schorzenia sromu i krocza
N90.9;Niezapalne zaburzenie sromu i krocza, nieokreślone
N91.0;Pierwotny brak miesiączki
N91.1;Wtórny brak miesiączki
N91.2;Brak miesiączki, nieokreślony
N91.3;Pierwotnie skąpe lub rzadkie miesiączki (oligomenorrhoea primaria)
